"YahooSymbol","PriceDate","Close"
"MRG-UN.TO","07-12-15",10.58
"MRG-UN.TO","08-12-15",10.6
"MRG-UN.TO","09-12-15",10.59
"MRG-UN.TO","10-12-15",10.37
"MRG-UN.TO","11-12-15",10.46
"MRG-UN.TO","14-12-15",10.26
"MRG-UN.TO","15-12-15",10.3
"MRG-UN.TO","16-12-15",10.35
"MRG-UN.TO","17-12-15",10.5
"MRG-UN.TO","18-12-15",10.55
"MRG-UN.TO","21-12-15",10.59
"MRG-UN.TO","22-12-15",10.5
"MRG-UN.TO","23-12-15",10.55
"MRG-UN.TO","24-12-15",10.65
"MRG-UN.TO","28-12-15",10.76
"MRG-UN.TO","29-12-15",10.76
"MRG-UN.TO","30-12-15",10.75
"MRG-UN.TO","31-12-15",10.67
"MRT-UN.TO","02-01-15",18.09
"MRT-UN.TO","05-01-15",18.35
"MRT-UN.TO","06-01-15",18.47
"MRT-UN.TO","07-01-15",18.57
"MRT-UN.TO","08-01-15",18.86
"MRT-UN.TO","09-01-15",18.85
"MRT-UN.TO","12-01-15",18.41
"MRT-UN.TO","13-01-15",18.46
"MRT-UN.TO","14-01-15",18.4
"MRT-UN.TO","15-01-15",18.13
"MRT-UN.TO","16-01-15",17.8
"MRT-UN.TO","19-01-15",17.79
"MRT-UN.TO","20-01-15",17.86
"MRT-UN.TO","21-01-15",18.01
"MRT-UN.TO","22-01-15",18.46
"MRT-UN.TO","23-01-15",18.44
"MRT-UN.TO","26-01-15",18.5
"MRT-UN.TO","27-01-15",18.62
"MRT-UN.TO","28-01-15",18.57
"MRT-UN.TO","29-01-15",18.55
"MRT-UN.TO","30-01-15",18.46
"MRT-UN.TO","02-02-15",18.25
"MRT-UN.TO","03-02-15",18.19
"MRT-UN.TO","04-02-15",18.3
"MRT-UN.TO","05-02-15",18.6
"MRT-UN.TO","06-02-15",18.71
"MRT-UN.TO","09-02-15",18.6
"MRT-UN.TO","10-02-15",18.62
"MRT-UN.TO","11-02-15",18.51
"MRT-UN.TO","12-02-15",18.23
"MRT-UN.TO","13-02-15",18.22
"MRT-UN.TO","17-02-15",18.52
"MRT-UN.TO","18-02-15",18.32
"MRT-UN.TO","19-02-15",18.42
"MRT-UN.TO","20-02-15",18.39
"MRT-UN.TO","23-02-15",18.06
"MRT-UN.TO","24-02-15",17.73
"MRT-UN.TO","25-02-15",17.67
"MRT-UN.TO","26-02-15",17.82
"MRT-UN.TO","27-02-15",17.75
"MRT-UN.TO","02-03-15",17.85
"MRT-UN.TO","03-03-15",17.8
"MRT-UN.TO","04-03-15",17.7
"MRT-UN.TO","05-03-15",17.79
"MRT-UN.TO","06-03-15",17.45
"MRT-UN.TO","09-03-15",17.23
"MRT-UN.TO","10-03-15",17.05
"MRT-UN.TO","11-03-15",16.85
"MRT-UN.TO","12-03-15",17
"MRT-UN.TO","13-03-15",16.98
"MRT-UN.TO","16-03-15",16.96
"MRT-UN.TO","17-03-15",16.9
"MRT-UN.TO","18-03-15",17.08
"MRT-UN.TO","19-03-15",17.37
"MRT-UN.TO","20-03-15",17.6
"MRT-UN.TO","23-03-15",17.75
"MRT-UN.TO","24-03-15",17.9
"MRT-UN.TO","25-03-15",17.67
"MRT-UN.TO","26-03-15",17.56
"MRT-UN.TO","27-03-15",17.16
"MRT-UN.TO","30-03-15",17.07
"MRT-UN.TO","31-03-15",17.22
"MRT-UN.TO","01-04-15",17.39
"MRT-UN.TO","02-04-15",17.4
"MRT-UN.TO","06-04-15",17.37
"MRT-UN.TO","07-04-15",17.47
"MRT-UN.TO","08-04-15",17.36
"MRT-UN.TO","09-04-15",17.16
"MRT-UN.TO","10-04-15",17.2
"MRT-UN.TO","13-04-15",17.01
